id,city,lat,lng,country,iso2,capital
308,Tuttlingen,47.985,8.8233,Germany,DE,minor
309,Sankt Ingbert,49.3,7.1167,Germany,DE,
310,Porta Westfalica,52.2167,8.9333,Germany,DE,
311,Sinsheim,49.25,8.8833,Germany,DE,
312,Meppen,52.6906,7.291,Germany,DE,minor
313,Limburg,50.3833,8.0667,Germany,DE,minor
314,Ingelheim,49.9747,8.0564,Germany,DE,minor
315,Lage,51.9833,8.8,Germany,DE,
316,Cloppenburg,52.8478,8.0439,Germany,DE,minor
317,Winsen,53.3667,10.2167,Germany,DE,minor
318,Mörfelden-Walldorf,49.9896,8.5661,Germany,DE,
319,Wermelskirchen,51.1392,7.2051,Germany,DE,
320,Datteln,51.6539,7.3417,Germany,DE,
321,Kempen,51.3658,6.4194,Germany,DE,
322,Saarlouis,49.3167,6.75,Germany,DE,minor
323,Leer,53.2308,7.4528,Germany,DE,minor
324,Seelze,52.3961,9.5981,Germany,DE,
325,Crailsheim,49.1347,10.0706,Germany,DE,
326,Barsinghausen,52.3031,9.4606,Germany,DE,
327,Balingen,48.2731,8.8506,Germany,DE,minor
328,Zweibrücken,49.2494,7.3608,Germany,DE,minor
329,Viernheim,49.538,8.5792,Germany,DE,
330,Steinfurt,52.1504,7.3366,Germany,DE,minor
331,Merseburg,51.3544,11.9928,Germany,DE,minor
332,Hemer,51.3833,7.7667,Germany,DE,
333,Dietzenbach,50.0086,8.7756,Germany,DE,
334,Radebeul,51.1033,13.67,Germany,DE,
335,Bad Vilbel,50.1781,8.7361,Germany,DE,
336,Geldern,51.5197,6.3325,Germany,DE,
337,Goch,51.6839,6.1619,Germany,DE,
338,Kornwestheim,48.8597,9.185,Germany,DE,
339,Stuhr,53.0167,8.75,Germany,DE,
340,Uelzen,52.9647,10.5658,Germany,DE,minor
341,Deggendorf,48.8353,12.9644,Germany,DE,minor
342,Wedel,53.5833,9.7,Germany,DE,
343,Ahrensburg,53.6747,10.2411,Germany,DE,
344,Rheinfelden (Baden),47.5611,7.7917,Germany,DE,
345,Korschenbroich,51.1833,6.5167,Germany,DE,
